,zipcode,city,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,lotAreaValue,lotAreaUnit,detailUrl
29,91792,West Covina,34.045753,-117.91618,849000.0,2.0,4.0,1861.0,SINGLE_FAMILY,0.30133149678604226,acres,https://www.zillow.com/homedetails/1413-E-Maplegrove-St-West-Covina-CA-91792/21690399_zpid/
30,91791,West Covina,34.069923,-117.873024,999000.0,3.0,4.0,2588.0,SINGLE_FAMILY,4910.0,sqft,https://www.zillow.com/homedetails/3340-E-Springcreek-Rd-West-Covina-CA-91791/65247627_zpid/
31,91792,West Covina,34.022488,-117.8947,868000.0,3.0,4.0,1715.0,SINGLE_FAMILY,5004.0,sqft,https://www.zillow.com/homedetails/2421-E-Gloria-St-West-Covina-CA-91792/21684667_zpid/
32,91791,West Covina,34.06896,-117.88511,1450000.0,3.0,4.0,2783.0,SINGLE_FAMILY,0.3622130394857668,acres,https://www.zillow.com/homedetails/228-S-Plateau-Dr-West-Covina-CA-91791/21569966_zpid/
33,91791,West Covina,34.04717,-117.891266,2388000.0,4.0,5.0,4106.0,SINGLE_FAMILY,0.47235996326905416,acres,https://www.zillow.com/homedetails/2843-Mountain-Ridge-Rd-West-Covina-CA-91791/21576273_zpid/
34,91790,West Covina,34.08467,-117.93008,1288888.0,4.0,7.0,2454.0,MULTI_FAMILY,10022.0,sqft,https://www.zillow.com/homedetails/758-N-Ellen-Dr-West-Covina-CA-91790/21551493_zpid/
35,91791,West Covina,34.07017,-117.87704,888000.0,3.0,4.0,1970.0,CONDO,,,https://www.zillow.com/homedetails/3206-Willow-Creek-Rd-West-Covina-CA-91791/243991785_zpid/
36,91791,West Covina,34.072643,-117.91083,800000.0,2.0,3.0,1118.0,SINGLE_FAMILY,6664.0,sqft,https://www.zillow.com/homedetails/1626-E-Mardina-St-West-Covina-CA-91791/21558391_zpid/
37,91791,West Covina,34.04989,-117.867134,2059990.0,4.0,5.0,4874.0,SINGLE_FAMILY,0.5319100091827365,acres,https://www.zillow.com/homedetails/1063-Holiday-Dr-West-Covina-CA-91791/21487726_zpid/
38,91791,West Covina,34.080673,-117.91002,909990.0,3.0,3.0,1637.0,SINGLE_FAMILY,2200.0,sqft,https://www.zillow.com/homedetails/1663-Rosewell-Rd-West-Covina-CA-91791/2056599716_zpid/
39,91791,West Covina,34.048515,-117.90093,1399000.0,3.0,3.0,2760.0,SINGLE_FAMILY,0.33562901744719925,acres,https://www.zillow.com/homedetails/2117-E-Kings-Crest-Dr-West-Covina-CA-91791/21575634_zpid/
40,91790,West Covina,34.067913,-117.94296,789000.0,4.0,4.0,1880.0,CONDO,0.4214876033057851,acres,https://www.zillow.com/homedetails/727-Hudson-Ln-West-Covina-CA-91790/2077619491_zpid/
41,91790,West Covina,34.05004,-117.92723,898000.0,2.0,3.0,1424.0,SINGLE_FAMILY,0.30415518824609733,acres,https://www.zillow.com/homedetails/916-E-Francisquito-Ave-West-Covina-CA-91790/21691035_zpid/
42,91791,West Covina,34.049522,-117.89428,3199000.0,6.0,5.0,4871.0,SINGLE_FAMILY,0.4602157943067034,acres,https://www.zillow.com/homedetails/2813-Countrywood-Ln-West-Covina-CA-91791/21576226_zpid/
43,91791,West Covina,34.080097,-117.909615,789990.0,3.0,2.0,1585.0,TOWNHOUSE,,,https://www.zillow.com/homedetails/513-Tamarind-Way-A-West-Covina-CA-91791/2056377131_zpid/
44,91790,West Covina,34.05326,-117.940445,860000.0,2.0,4.0,2548.0,SINGLE_FAMILY,7866.0,sqft,https://www.zillow.com/homedetails/1334-S-Glendora-Ave-West-Covina-CA-91790/21573740_zpid/
45,91790,West Covina,34.063282,-117.91869,999000.0,2.0,3.0,1414.0,SINGLE_FAMILY,8143.0,sqft,https://www.zillow.com/homedetails/1257-E-Mobeck-St-West-Covina-CA-91790/21571903_zpid/
46,91792,West Covina,34.04065,-117.920715,749800.0,3.0,3.0,2034.0,CONDO,1.2238,acres,https://www.zillow.com/homedetails/1206-Tina-Ln-West-Covina-CA-91792/21690266_zpid/
