,zip,city,price,baths,beds,home_sqft,type,url,year_built,lot_sqft
31,91791,West Covina,2388000.0,4.0,5.0,4106.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/2843-Mountain-Ridge-Rd-West-Covina-CA-91791/21576273_zpid/,2001.0,20575.999999999996
32,91790,West Covina,1288888.0,4.0,7.0,2454.0,MULTI_FAMILY,https://www.zillow.com/homedetails/758-N-Ellen-Dr-West-Covina-CA-91790/21551493_zpid/,1955.0,10022.0
33,91791,West Covina,888000.0,3.0,4.0,1970.0,CONDO,https://www.zillow.com/homedetails/3206-Willow-Creek-Rd-West-Covina-CA-91791/243991785_zpid/,2015.0,1970.0
34,91791,West Covina,800000.0,2.0,3.0,1118.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/1626-E-Mardina-St-West-Covina-CA-91791/21558391_zpid/,1951.0,6664.0
35,91791,West Covina,2059990.0,4.0,5.0,4874.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/1063-Holiday-Dr-West-Covina-CA-91791/21487726_zpid/,1990.0,23170.0
36,91791,West Covina,909990.0,3.0,3.0,1637.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/1663-Rosewell-Rd-West-Covina-CA-91791/2056599716_zpid/,2023.0,2200.0
37,91791,West Covina,1399000.0,3.0,3.0,2760.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/2117-E-Kings-Crest-Dr-West-Covina-CA-91791/21575634_zpid/,1977.0,14619.999999999996
38,91790,West Covina,789000.0,4.0,4.0,1880.0,CONDO,https://www.zillow.com/homedetails/727-Hudson-Ln-West-Covina-CA-91790/2077619491_zpid/,2021.0,1880.0
39,91790,West Covina,898000.0,2.0,3.0,1424.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/916-E-Francisquito-Ave-West-Covina-CA-91790/21691035_zpid/,1947.0,13248.999999999998
40,91791,West Covina,3199000.0,6.0,5.0,4871.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/2813-Countrywood-Ln-West-Covina-CA-91791/21576226_zpid/,1993.0,20047.0
